event_id,scenario_id,event_type,timestamp,actor,host,process,source,destination,command,is_off_hours,is_new_device,is_privilege_escalation,is_anomalous_process,is_unusual_network,is_lateral_movement,is_attack,attack_family,ground_truth_label,seed,replay_id,is_replay
EVT-008CD0E5,NORMAL-001,auth_login,2026-01-01T00:54:23+00:00,bob,WS-004,,,,,False,False,False,False,False,False,False,,normal,1001,,False
EVT-8696E55F,NORMAL-001,process_create,2026-01-01T01:23:23+00:00,bob,WS-004,chrome.exe,,,,False,False,False,False,False,False,False,,normal,1001,,False
EVT-847B4FF2,NORMAL-001,network_connect,2026-01-01T01:08:23+00:00,bob,WS-004,,WS-004,SRV-WEB01,,False,False,False,False,False,False,False,,normal,1001,,False
EVT-6C6B8D9F,NORMAL-001,file_access,2026-01-01T01:45:23+00:00,bob,WS-004,,,,,False,False,False,False,False,False,False,,normal,1001,,False
EVT-23FF675C,NORMAL-001,network_connect,2026-01-01T01:34:23+00:00,bob,WS-004,,WS-004,JMP-01,,False,False,False,False,False,False,False,,normal,1001,,False
EVT-B935837E,NORMAL-001,network_connect,2026-01-01T03:14:23+00:00,bob,WS-004,,WS-004,JMP-01,,False,False,False,False,False,False,False,,normal,1001,,False
EVT-F9AC8D23,NORMAL-001,network_connect,2026-01-01T03:12:23+00:00,bob,WS-004,,WS-004,SRV-APP01,,False,False,False,False,False,False,False,,normal,1001,,False
EVT-0AC3006A,NORMAL-002,auth_login,2026-01-01T00:35:33+00:00,ivan,JMP-01,,,,,False,False,False,False,False,False,False,,normal,1002,,False
EVT-958FDA1C,NORMAL-002,process_create,2026-01-01T00:47:33+00:00,ivan,JMP-01,outlook.exe,,,,False,False,False,False,False,False,False,,normal,1002,,False
EVT-EF5766A6,NORMAL-002,network_connect,2026-01-01T00:53:33+00:00,ivan,JMP-01,,JMP-01,SRV-APP01,,False,False,False,False,False,False,False,,normal,1002,,False
EVT-C83C692F,NORMAL-002,network_connect,2026-01-01T01:35:33+00:00,ivan,JMP-01,,JMP-01,SRV-APP01,,False,False,False,False,False,False,False,,normal,1002,,False
EVT-77A74DF6,NORMAL-002,network_connect,2026-01-01T02:15:33+00:00,ivan,JMP-01,,JMP-01,SRV-DB01,,False,False,False,False,False,False,False,,normal,1002,,False
EVT-AF27ACA8,NORMAL-002,network_connect,2026-01-01T02:35:33+00:00,ivan,JMP-01,,JMP-01,SRV-WEB01,,False,False,False,False,False,False,False,,normal,1002,,False
EVT-32F1C4CE,NORMAL-003,auth_login,2026-01-01T00:33:57+00:00,frank,SRV-DB01,,,,,False,False,False,False,False,False,False,,normal,1003,,False
EVT-1D13EB3D,NORMAL-003,process_create,2026-01-01T01:01:57+00:00,frank,SRV-DB01,chrome.exe,,,,False,False,False,False,False,False,False,,normal,1003,,False
EVT-136E281D,NORMAL-003,file_access,2026-01-01T01:11:57+00:00,frank,SRV-DB01,,,,,False,False,False,False,False,False,False,,normal,1003,,False
EVT-40066FFC,SUSP-001,auth_login,2026-01-02T00:40:02+00:00,ivan,SRV-WEB01,,,,,True,True,False,False,False,False,True,suspicious_login,suspicious,2001,,False
EVT-705F0405,SUSP-001,process_create,2026-01-02T00:46:02+00:00,ivan,SRV-WEB01,chrome.exe,,,,False,False,False,False,False,False,False,,normal,2001,,False
EVT-DAB6422D,SUSP-001,network_connect,2026-01-02T01:30:02+00:00,ivan,SRV-WEB01,,SRV-WEB01,SRV-APP01,,False,False,False,False,False,False,False,,normal,2001,,False
EVT-9507E8C9,SUSP-001,network_connect,2026-01-02T02:10:02+00:00,ivan,SRV-WEB01,,SRV-WEB01,SRV-DB01,,False,False,False,False,False,False,False,,normal,2001,,False
EVT-D7916EF5,SUSP-001,network_connect,2026-01-02T01:04:02+00:00,ivan,SRV-WEB01,,SRV-WEB01,JMP-01,,False,False,False,False,False,False,False,,normal,2001,,False
EVT-73DF2396,SUSP-002,auth_login,2026-01-02T00:49:39+00:00,grace,WS-004,,,,,False,False,False,False,False,False,False,,normal,2002,,False
EVT-7CC28AC5,SUSP-002,network_connect,2026-01-02T01:18:39+00:00,grace,WS-004,,WS-004,SRV-DB01,,False,False,False,False,True,False,True,unusual_network,suspicious,2002,,False
EVT-A7B86498,SUSP-002,network_connect,2026-01-02T01:35:39+00:00,grace,WS-004,,WS-004,JMP-01,,False,False,False,False,False,False,False,,normal,2002,,False
EVT-1CF22A04,SUSP-002,network_connect,2026-01-02T01:28:39+00:00,grace,WS-004,,WS-004,JMP-01,,False,False,False,False,False,False,False,,normal,2002,,False
EVT-074347CE,SUSP-002,network_connect,2026-01-02T01:45:39+00:00,grace,WS-004,,WS-004,SRV-APP01,,False,False,False,False,False,False,False,,normal,2002,,False
EVT-387412E7,ATK-001,auth_login,2026-01-03T00:19:53+00:00,svc_monitor,WS-LT-001,,,,,True,True,False,False,False,False,True,credential_abuse,credential_abuse,3001,,False
EVT-68D2F6E6,ATK-001,process_create,2026-01-03T00:35:53+00:00,svc_monitor,WS-LT-001,cmd.exe,,,,False,False,False,True,False,False,True,credential_abuse,suspicious_process,3001,,False
EVT-DE749992,ATK-001,network_connect,2026-01-03T00:43:53+00:00,svc_monitor,WS-LT-001,,WS-LT-001,JMP-01,,False,False,False,False,True,False,True,credential_abuse,lateral_movement,3001,,False
EVT-71316493,ATK-001,lateral_move,2026-01-03T01:07:53+00:00,svc_monitor,JMP-01,,JMP-01,SRV-DB01,,False,False,False,False,False,True,True,credential_abuse,lateral_movement,3001,,False
EVT-8B395EF6,ATK-001,network_connect,2026-01-03T01:19:53+00:00,svc_monitor,WS-LT-001,,WS-LT-001,SRV-WEB01,,False,False,False,False,False,False,False,,normal,3001,,False
EVT-031F6945,ATK-001,network_connect,2026-01-03T01:29:53+00:00,svc_monitor,WS-LT-001,,WS-LT-001,JMP-01,,False,False,False,False,False,False,False,,normal,3001,,False
EVT-3A39D343,ATK-001,network_connect,2026-01-03T02:01:53+00:00,svc_monitor,WS-LT-001,,WS-LT-001,JMP-01,,False,False,False,False,False,False,False,,normal,3001,,False
EVT-3A1F0BE4,ATK-002,auth_login,2026-01-03T00:13:24+00:00,ursa,SRV-FILE01,,,,,False,False,False,False,False,False,False,,normal,3002,,False
EVT-28D36BB9,ATK-002,process_create,2026-01-03T00:30:24+00:00,ursa,SRV-FILE01,powershell.exe,,,,False,False,False,True,False,False,True,privilege_escalation,suspicious_process,3002,,False
EVT-58027E9C,ATK-002,privilege_change,2026-01-03T00:25:24+00:00,ursa,SRV-FILE01,,,,,False,False,True,False,False,False,True,privilege_escalation,privilege_escalation,3002,,False
EVT-73DAB9FD,ATK-002,process_create,2026-01-03T01:04:24+00:00,ursa,SRV-FILE01,psexec.exe,,,,False,False,False,True,False,False,True,privilege_escalation,suspicious_process,3002,,False
EVT-0F127A8D,ATK-002,network_connect,2026-01-03T01:45:24+00:00,ursa,SRV-FILE01,,SRV-FILE01,SRV-APP01,,False,False,False,False,False,False,False,,normal,3002,,False
EVT-6F35DF5B,ATK-002,network_connect,2026-01-03T02:33:24+00:00,ursa,SRV-FILE01,,SRV-FILE01,SRV-DB01,,False,False,False,False,False,False,False,,normal,3002,,False
EVT-11199D68,ATK-002,network_connect,2026-01-03T03:07:24+00:00,ursa,SRV-FILE01,,SRV-FILE01,SRV-WEB01,,False,False,False,False,False,False,False,,normal,3002,,False
EVT-57B83B75,ATK-003,auth_login,2026-01-03T00:37:56+00:00,bob,SRV-DB01,,,,,True,False,False,False,False,False,True,persistence,off_hours_access,3003,,False
EVT-31F45E55,ATK-003,process_create,2026-01-03T01:03:56+00:00,bob,SRV-DB01,cmd.exe,,,,False,False,False,True,False,False,True,persistence,suspicious_process,3003,,False
EVT-8875F8F7,ATK-003,scheduled_task,2026-01-03T01:23:56+00:00,bob,SRV-DB01,,,,,False,False,False,False,False,False,True,persistence,persistence,3003,,False
EVT-387412E7-1,ATK-001,auth_login,2026-01-03T00:19:53+00:00,carol,SRV-WEB02,,,,,True,True,False,False,False,False,True,credential_abuse,credential_abuse,3001,,False
EVT-68D2F6E6-1,ATK-001,process_create,2026-01-03T00:35:53+00:00,carol,SRV-WEB02,cmd.exe,,,,False,False,False,True,False,False,True,credential_abuse,suspicious_process,3001,,False
EVT-DE749992-1,ATK-001,network_connect,2026-01-03T00:43:53+00:00,carol,SRV-WEB02,,SRV-WEB02,JMP-01,,False,False,False,False,True,False,True,credential_abuse,lateral_movement,3001,,False
EVT-71316493-1,ATK-001,lateral_move,2026-01-03T01:07:53+00:00,carol,JMP-01,,JMP-01,SRV-DB01,,False,False,False,False,False,True,True,credential_abuse,lateral_movement,3001,,False
EVT-8B395EF6-1,ATK-001,network_connect,2026-01-03T01:19:53+00:00,carol,SRV-WEB02,,SRV-WEB02,SRV-APP01,,False,False,False,False,False,False,False,,normal,3001,,False
EVT-031F6945-1,ATK-001,network_connect,2026-01-03T01:29:53+00:00,carol,SRV-WEB02,,SRV-WEB02,SRV-DB01,,False,False,False,False,False,False,False,,normal,3001,,False
EVT-3A39D343-1,ATK-001,network_connect,2026-01-03T02:01:53+00:00,carol,SRV-WEB02,,SRV-WEB02,SRV-WEB01,,False,False,False,False,False,False,False,,normal,3001,,False
EVT-FECB5A2F,ATK-MISS-001,auth_login,2026-01-04T00:28:21+00:00,svc_monitor,SRV-WEB02,,,,,True,True,False,False,False,False,True,lateral_movement,credential_abuse,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-4FEADCC5,ATK-MISS-001,process_create,2026-01-04T00:39:21+00:00,svc_monitor,SRV-WEB02,ssh,,,,False,False,False,False,False,False,False,,normal,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-4C8D9911,ATK-MISS-001,network_connect,2026-01-04T01:26:21+00:00,svc_monitor,SRV-WEB02,,SRV-WEB02,JMP-01,,False,False,False,False,True,False,True,lateral_movement,lateral_movement,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-84B46A76,ATK-MISS-001,lateral_move,2026-01-04T01:49:21+00:00,svc_monitor,JMP-01,,JMP-01,SRV-DB01,,False,False,False,False,False,True,True,lateral_movement,lateral_movement,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-DF9254F6,ATK-MISS-001,process_create,2026-01-04T02:20:21+00:00,svc_monitor,SRV-DB01,scp,,,,False,False,False,False,False,False,True,lateral_movement,data_exfiltration,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-6F0F64F1,ATK-MISS-001,network_connect,2026-01-04T02:53:21+00:00,svc_monitor,SRV-WEB02,,SRV-WEB02,SRV-DB01,,False,False,False,False,False,False,False,,normal,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-32C19D72,ATK-MISS-001,network_connect,2026-01-04T03:04:21+00:00,svc_monitor,SRV-WEB02,,SRV-WEB02,SRV-WEB01,,False,False,False,False,False,False,False,,normal,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-658EF952,ATK-MISS-001,network_connect,2026-01-04T03:58:21+00:00,svc_monitor,SRV-WEB02,,SRV-WEB02,JMP-01,,False,False,False,False,False,False,False,,normal,4001,REPLAY-ATK-MISS-001-PRE,True
EVT-2479C8C9,ATK-MISS-001,auth_login,2026-01-04T00:28:21+00:00,svc_monitor,SRV-WEB02,,,,,True,True,False,False,False,False,True,lateral_movement,credential_abuse,4001,REPLAY-ATK-MISS-001-POST,True
EVT-A60D67DE,ATK-MISS-001,process_create,2026-01-04T00:39:21+00:00,svc_monitor,SRV-WEB02,ssh,,,,False,False,False,False,False,False,False,,normal,4001,REPLAY-ATK-MISS-001-POST,True
EVT-B4B43636,ATK-MISS-001,network_connect,2026-01-04T01:26:21+00:00,svc_monitor,SRV-WEB02,,SRV-WEB02,JMP-01,,False,False,False,False,True,False,True,lateral_movement,lateral_movement,4001,REPLAY-ATK-MISS-001-POST,True
EVT-EBC082A3,ATK-MISS-001,lateral_move,2026-01-04T01:49:21+00:00,svc_monitor,JMP-01,,JMP-01,SRV-DB01,,False,False,False,False,False,True,True,lateral_movement,lateral_movement,4001,REPLAY-ATK-MISS-001-POST,True
EVT-C7121909,ATK-MISS-001,process_create,2026-01-04T02:20:21+00:00,svc_monitor,SRV-DB01,scp,,,,False,False,False,False,False,False,True,lateral_movement,data_exfiltration,4001,REPLAY-ATK-MISS-001-POST,True
