timestamp,source_ip,dest_ip,event_type,severity,status,bytes,protocol,user,host,process_name
2026-08-20T23:16:50,38.12.140.63,67.71.52.174,http,high,success,619176,HTTPS,alice,web-01,chrome
2026-08-20T07:57:37,69.13.101.184,176.214.112.115,dns,low,success,795667,UDP,grace,app-03,powershell
2026-08-20T05:39:39,65.172.52.24,107.49.183.217,file,medium,success,765179,HTTPS,bob,workstation-117,chrome
2026-08-20T20:05:57,85.185.98.181,27.23.116.198,file,critical,success,908573,TCP,grace,app-03,lsass
2026-08-20T23:08:40,223.186.83.95,100.107.136.180,http,medium,success,560086,ICMP,dave,db-02,lsass
2026-08-20T13:48:55,79.112.166.216,206.28.117.211,auth,high,failure,280746,TCP,dave,mail-05,svchost
2026-08-20T07:44:29,177.255.202.227,174.234.73.68,network,low,failure,783300,DNS,grace,mail-05,outlook
2026-08-20T13:10:47,66.70.252.24,203.24.56.40,http,low,failure,625380,TCP,grace,workstation-117,lsass
2026-08-20T19:15:52,74.5.58.175,147.136.174.29,file,low,failure,3402,ICMP,eve,mail-05,nginx
2026-08-20T18:29:02,37.152.101.40,105.82.0.154,file,low,success,974230,HTTP,eve,db-02,sshd
2026-08-20T08:46:11,155.40.43.188,134.35.64.33,http,low,success,277932,DNS,grace,db-02,python3
2026-08-20T11:20:57,112.191.224.231,142.231.61.64,network,low,success,616886,DNS,dave,mail-05,python3
2026-08-20T00:15:42,28.30.117.18,18.169.36.132,network,low,failure,224643,DNS,carol,proxy-04,lsass
2026-08-20T08:50:50,210.242.208.49,34.49.220.91,process,low,success,706073,ICMP,bob,web-01,outlook
2026-08-20T12:21:13,214.55.127.50,58.229.71.109,network,low,success,916964,TCP,heidi,mail-05,chrome
2026-08-20T01:50:30,176.7.47.238,202.121.85.105,process,low,failure,946279,TCP,carol,workstation-117,sshd
2026-08-20T14:12:53,77.232.146.109,188.249.79.49,file,low,success,607314,ICMP,alice,proxy-04,svchost
2026-08-20T02:04:52,22.244.80.15,140.41.95.18,dns,low,success,423389,TCP,dave,mail-05,sshd
2026-08-20T22:33:03,30.214.161.240,76.104.160.62,file,low,failure,479434,HTTP,bob,web-01,lsass
2026-08-20T22:36:56,154.51.37.138,64.135.67.239,file,high,success,387477,HTTP,carol,workstation-117,powershell
2026-08-20T22:16:13,216.4.153.239,179.53.68.68,auth,high,success,285577,HTTP,dave,proxy-04,svchost
2026-08-20T07:24:45,185.135.250.65,23.47.216.213,file,low,failure,808577,UDP,eve,db-02,lsass
2026-08-20T20:05:09,190.218.4.29,29.76.18.214,file,medium,success,450664,UDP,alice,app-03,svchost
2026-08-20T01:27:09,101.107.127.171,36.181.208.250,dns,medium,success,906604,UDP,carol,workstation-117,sshd
2026-08-20T06:31:49,198.170.210.206,181.127.136.41,http,low,success,900300,HTTPS,dave,db-02,lsass
2026-08-20T12:43:50,88.116.114.7,178.98.204.85,file,high,failure,368203,ICMP,grace,proxy-04,svchost
2026-08-20T01:00:17,39.133.91.149,77.19.55.153,process,low,failure,457592,DNS,bob,workstation-117,python3
2026-08-20T09:16:26,21.223.0.134,216.100.186.111,auth,high,failure,653425,HTTP,bob,proxy-04,powershell
2026-08-20T18:27:49,89.209.167.104,188.151.65.50,process,medium,failure,710219,ICMP,carol,mail-05,powershell
2026-08-20T14:47:05,150.0.155.74,63.220.164.120,process,low,success,536004,HTTPS,carol,proxy-04,chrome
2026-08-20T10:19:56,141.171.47.210,202.120.158.58,network,low,success,256736,HTTPS,bob,workstation-117,outlook
2026-08-20T22:55:44,157.99.196.127,112.124.75.168,http,low,success,816232,HTTPS,dave,db-02,lsass
2026-08-20T01:49:42,152.127.62.117,44.237.162.244,process,medium,failure,870914,DNS,heidi,db-02,lsass
2026-08-20T16:23:11,76.126.141.197,209.248.122.71,process,low,failure,245884,HTTP,frank,app-03,chrome
2026-08-20T05:02:16,48.118.196.178,49.109.32.107,process,low,failure,435970,TCP,dave,workstation-117,outlook
2026-08-20T21:15:56,188.10.194.123,11.180.152.193,process,high,failure,564365,ICMP,dave,workstation-117,python3
2026-08-20T09:56:14,121.248.14.100,96.207.84.216,process,high,success,950983,HTTPS,alice,web-01,outlook
2026-08-20T04:56:26,128.93.25.67,107.167.108.117,file,low,failure,291773,HTTPS,eve,web-01,lsass
2026-08-20T00:42:20,201.26.179.58,176.35.20.194,auth,high,success,879995,TCP,carol,db-02,nginx
2026-08-20T17:14:30,181.58.111.120,189.131.188.43,dns,medium,success,815573,UDP,eve,web-01,sshd
2026-08-20T11:21:28,157.192.203.242,193.101.38.152,http,high,success,106851,ICMP,eve,proxy-04,chrome
2026-08-20T20:36:17,210.21.177.137,119.189.35.130,http,low,failure,862276,HTTPS,bob,workstation-117,svchost
2026-08-20T23:08:27,222.235.78.112,55.138.247.120,process,high,failure,337960,UDP,bob,app-03,lsass
2026-08-20T08:52:43,202.237.194.87,17.253.166.47,process,low,failure,356871,HTTP,eve,mail-05,sshd
2026-08-20T18:48:35,58.43.123.185,114.250.123.177,process,medium,failure,469945,TCP,bob,app-03,python3
2026-08-20T14:43:25,187.124.156.170,158.188.242.142,dns,low,failure,368900,ICMP,heidi,app-03,powershell
2026-08-20T09:09:11,69.61.98.81,40.94.98.56,http,low,failure,105409,UDP,eve,db-02,svchost
2026-08-20T06:31:59,87.7.64.71,21.27.149.179,network,medium,failure,107570,TCP,eve,workstation-117,lsass
2026-08-20T16:02:13,97.94.26.65,132.58.33.103,process,low,success,159097,UDP,eve,web-01,python3
2026-08-20T04:18:45,152.213.115.199,143.194.230.233,process,low,failure,320214,DNS,alice,mail-05,chrome
2026-08-20T07:33:55,170.108.135.170,30.80.122.45,dns,low,success,428361,HTTPS,heidi,app-03,sshd
2026-08-20T08:25:40,83.144.232.19,185.119.135.202,http,medium,success,445790,TCP,dave,proxy-04,nginx
2026-08-20T09:40:16,221.72.36.16,52.157.147.113,auth,low,failure,733723,HTTPS,eve,mail-05,lsass
2026-08-20T15:56:17,30.20.221.189,92.128.13.24,network,critical,success,801909,ICMP,eve,mail-05,sshd
2026-08-20T06:22:42,130.226.142.47,159.223.251.249,auth,low,failure,349499,HTTP,bob,db-02,svchost
2026-08-20T14:59:15,187.253.147.170,112.18.232.23,file,low,success,810075,HTTPS,alice,proxy-04,lsass
2026-08-20T15:02:45,23.96.185.160,203.255.226.195,auth,low,success,972735,HTTP,heidi,proxy-04,lsass
