timestamp,source_ip,dest_ip,event_type,severity,status,bytes,protocol,user,host,process_name
2026-08-20T12:41:15+00:00,10.0.12.107,10.0.6.10,http,low,success,772366,TCP,dave,workstation-107,outlook
2026-08-20T11:46:41+00:00,203.0.113.7,10.0.3.10,network,high,failure,735252,HTTP,ext-203.0.113.7,ext-203.0.113.7,powershell
2026-08-20T15:15:47+00:00,10.0.11.135,10.0.4.10,file,low,failure,369020,ICMP,heidi,workstation-135,lsass
2026-08-20T10:59:30+00:00,10.0.12.102,10.0.2.10,file,medium,failure,291788,HTTPS,grace,workstation-102,powershell
2026-08-20T12:43:02+00:00,10.0.10.105,10.0.3.10,network,low,failure,808697,HTTPS,bob,workstation-105,sshd
2026-08-20T14:05:50+00:00,10.0.12.101,182.198.191.65,network,low,failure,252958,ICMP,frank,workstation-101,outlook
2026-08-20T12:18:20+00:00,10.0.6.10,10.0.2.10,network,low,failure,539713,TCP,svc_backup,proxy-04,lsass
2026-08-20T12:34:20+00:00,10.0.11.127,10.0.4.10,http,medium,success,292597,DNS,heidi,workstation-127,nginx
2026-08-20T11:39:21+00:00,10.0.11.111,150.185.9.93,process,low,success,237667,HTTPS,heidi,workstation-111,python3
2026-08-20T08:52:18+00:00,10.0.12.127,191.62.210.91,file,low,failure,368847,TCP,heidi,workstation-127,nginx
2026-08-20T09:59:08+00:00,203.0.113.7,10.0.3.10,network,high,success,319269,DNS,ext-203.0.113.7,ext-203.0.113.7,outlook
2026-08-20T09:33:30+00:00,10.0.3.10,10.0.2.10,auth,medium,failure,349619,HTTP,svc_backup,web-01,outlook
2026-08-20T15:59:04+00:00,10.0.3.10,198.51.100.19,http,high,success,709296,ICMP,eve,web-01,powershell
2026-08-20T08:26:05+00:00,10.0.11.120,10.0.2.10,http,low,success,802029,ICMP,alice,workstation-120,sshd
2026-08-20T08:46:42+00:00,10.0.12.112,10.0.6.10,http,medium,failure,83787,HTTPS,alice,workstation-112,outlook
2026-08-20T13:14:38+00:00,10.0.10.104,10.0.2.10,dns,low,failure,460605,TCP,alice,workstation-104,lsass
2026-08-20T17:15:03+00:00,10.0.10.103,10.0.3.10,dns,low,failure,60062,TCP,heidi,workstation-103,lsass
2026-08-20T12:45:42+00:00,10.0.11.104,10.0.6.10,process,low,success,565547,HTTPS,alice,workstation-104,lsass
2026-08-20T12:04:26+00:00,10.0.10.103,48.147.121.78,dns,low,failure,65978,TCP,heidi,workstation-103,lsass
2026-08-20T13:16:50+00:00,10.0.3.10,203.0.113.7,process,high,success,607847,HTTP,eve,web-01,python3
2026-08-20T08:02:18+00:00,10.0.3.10,10.0.2.10,dns,low,failure,878277,UDP,svc_backup,web-01,lsass
2026-08-20T15:48:02+00:00,10.0.10.104,198.245.93.208,auth,low,success,46054,HTTPS,alice,workstation-104,chrome
2026-08-20T08:41:48+00:00,10.0.11.114,10.0.4.10,network,low,success,209164,TCP,carol,workstation-114,python3
2026-08-20T13:06:40+00:00,10.0.9.5,10.0.2.10,process,critical,failure,479147,HTTP,eve,jmp-01,nginx
2026-08-20T10:45:52+00:00,10.0.12.126,138.144.195.129,http,low,success,262267,TCP,grace,workstation-126,lsass
2026-08-20T12:26:24+00:00,10.0.10.129,10.0.4.10,auth,low,success,476906,HTTP,bob,workstation-129,svchost
2026-08-20T12:16:43+00:00,10.0.2.10,10.0.3.10,dns,high,success,658885,TCP,eve,db-02,chrome
2026-08-20T11:46:25+00:00,10.0.11.101,10.0.4.10,dns,low,success,321200,ICMP,frank,workstation-101,svchost
2026-08-20T15:57:26+00:00,10.0.11.126,10.0.5.10,network,low,success,873469,DNS,grace,workstation-126,powershell
2026-08-20T15:13:13+00:00,10.0.11.133,10.0.6.10,file,medium,success,747701,HTTP,frank,workstation-133,powershell
2026-08-20T15:56:28+00:00,10.0.12.138,10.0.5.10,process,low,success,536124,DNS,carol,workstation-138,python3
2026-08-20T17:40:56+00:00,10.0.11.117,10.0.6.10,dns,low,failure,223075,ICMP,frank,workstation-117,lsass
2026-08-20T16:40:47+00:00,10.0.6.10,10.0.2.10,http,low,success,289786,DNS,svc_backup,proxy-04,svchost
2026-08-20T11:45:00+00:00,10.0.10.137,10.0.6.10,network,low,success,240182,TCP,bob,workstation-137,chrome
2026-08-20T12:54:14+00:00,10.0.3.10,10.0.2.10,dns,medium,success,455172,TCP,svc_backup,web-01,outlook
2026-08-20T16:06:39+00:00,10.0.10.102,10.0.5.10,network,low,failure,434692,ICMP,grace,workstation-102,nginx
2026-08-20T14:31:39+00:00,10.0.11.117,10.0.9.5,dns,critical,success,521961,UDP,eve,workstation-117,python3
2026-08-20T11:44:43+00:00,10.0.11.140,10.0.6.10,auth,low,success,240294,TCP,eve,workstation-140,svchost
2026-08-20T10:31:50+00:00,10.0.10.121,37.106.110.209,file,low,success,290863,HTTPS,bob,workstation-121,python3
2026-08-20T08:33:14+00:00,10.0.12.138,10.0.2.10,auth,low,failure,737255,DNS,carol,workstation-138,outlook
2026-08-20T08:14:45+00:00,10.0.10.123,10.0.2.10,file,low,success,287756,TCP,dave,workstation-123,chrome
2026-08-20T09:57:36+00:00,10.0.10.108,10.0.4.10,http,low,failure,733562,HTTP,eve,workstation-108,svchost
2026-08-20T12:53:49+00:00,10.0.2.10,10.0.3.10,http,high,failure,229762,ICMP,eve,db-02,nginx
2026-08-20T17:29:42+00:00,10.0.11.129,10.0.3.10,dns,low,failure,162436,HTTPS,bob,workstation-129,sshd
2026-08-20T13:55:45+00:00,10.0.12.120,64.227.44.208,network,low,failure,314647,HTTPS,alice,workstation-120,python3
2026-08-20T10:57:35+00:00,10.0.11.105,10.0.2.10,network,low,success,2925,DNS,bob,workstation-105,lsass
2026-08-20T14:27:05+00:00,10.0.12.129,10.0.6.10,file,low,failure,869813,ICMP,bob,workstation-129,svchost
2026-08-20T12:05:45+00:00,10.0.4.10,10.0.2.10,http,medium,failure,577716,TCP,svc_backup,app-03,powershell
2026-08-20T11:10:31+00:00,10.0.10.101,121.160.142.64,file,low,failure,589076,TCP,frank,workstation-101,sshd
2026-08-20T17:13:26+00:00,198.51.100.19,10.0.3.10,file,high,success,435157,ICMP,ext-198.51.100.19,ext-198.51.100.19,outlook
2026-08-20T10:14:59+00:00,10.0.4.10,10.0.2.10,auth,low,failure,732288,DNS,svc_backup,app-03,outlook
2026-08-20T13:09:39+00:00,10.0.10.128,10.0.3.10,dns,medium,success,700425,UDP,alice,workstation-128,sshd
2026-08-20T08:44:46+00:00,10.0.10.139,151.55.231.129,dns,low,failure,480412,ICMP,dave,workstation-139,chrome
2026-08-20T14:29:06+00:00,10.0.10.121,10.0.6.10,auth,low,failure,633172,HTTP,bob,workstation-121,chrome
2026-08-20T12:19:02+00:00,10.0.12.130,100.158.203.254,dns,low,success,300129,HTTP,carol,workstation-130,chrome
2026-08-20T12:02:50+00:00,10.0.10.108,112.114.62.253,process,low,success,378547,UDP,eve,workstation-108,svchost
2026-08-20T11:08:03+00:00,10.0.11.130,10.0.2.10,auth,low,failure,119749,TCP,carol,workstation-130,powershell
2026-08-20T10:23:27+00:00,10.0.10.112,10.0.6.10,http,low,failure,485220,HTTPS,alice,workstation-112,outlook
2026-08-20T08:01:33+00:00,10.0.11.102,10.0.5.10,file,medium,success,382033,DNS,grace,workstation-102,outlook
2026-08-20T10:20:48+00:00,10.0.11.113,173.28.3.53,auth,low,failure,344181,TCP,bob,workstation-113,chrome
2026-08-20T13:46:52+00:00,10.0.11.134,217.170.68.12,dns,low,success,870840,ICMP,grace,workstation-134,lsass
2026-08-20T15:34:10+00:00,10.0.11.117,10.0.9.5,dns,critical,failure,30473,TCP,eve,workstation-117,svchost
2026-08-20T16:50:29+00:00,10.0.10.111,10.0.5.10,network,medium,success,889665,TCP,heidi,workstation-111,lsass
2026-08-20T13:14:15+00:00,10.0.10.107,10.0.6.10,network,medium,success,595036,TCP,dave,workstation-107,outlook
2026-08-20T12:09:09+00:00,10.0.12.124,10.0.5.10,dns,low,success,787563,TCP,eve,workstation-124,powershell
